AG1478	AZD6244	Erlotinib	Fascaplysin	GSK2126458	GSK650394	Lapatinib	PF-4691502	Pemetrexed	Rapamycin	drug1	drug2	drug3	drug4	drug5	drug6	drug7
184B5	NA	2.09547124066	2.09509791613	-0.487919256044	0.337460378293	2.74328283784	0.14312646397	-0.377873861879	2.01821187096	-1.56393980617	0.297294482619	1.08237568951	-1.00883312734	0.430720991962	NA	-0.430691899078	-1.67627931183
600MPE	-0.581618750413	1.38212871516	-0.836123714695	-0.438927363532	0.322968214808	-0.655481966069	-0.646259799047	0.752584128636	-0.567035283887	-1.1140659478	-0.701475777552	NA	-0.382950878155	0.110763736282	-1.80243427001	NA	0.874000989165
AU565	0.12142102892	-0.714665981025	0.0780691701676	0.540910486721	0.149062252988	-0.0858565799386	2.13375269245	1.07316176774	-0.567035283887	0.643253811452	0.41909573386	0.805460885741	-0.78123958218	0.13446427374	0.780080934246	0.704933304663	NA
BT20	NA	-0.714665981025	1.19541602944	-0.536911148557	-0.285702651561	-0.0858565799386	-0.646259799047	-2.41944724773	-0.567035283887	0.326936254786	-0.84763727904	-0.662187574226	NA	-0.197343250669	NA	NA	NA
BT474	1.54817822816	-0.714665981025	0.15062416103	0.00199966908215	0.525858503598	-0.655481966069	2.13375269245	0.0608113284699	-0.567035283887	0.643253811452	NA	-1.60369790704	0.254311048284	0.809929591287	-0.266577210211	0.27907385326	0.251981403557
BT483	-0.922799819796	-0.714665981025	-0.139595802419	1.10431725062	1.36640398573	-0.0858565799386	-0.646259799047	NA	-0.567035283887	1.45865017975	1.8563504985	NA	-0.849517645727	1.58019705866	0.666313744631	-2.531598526	-1.6296278429
BT549	-0.354164704158	-0.714665981025	-0.705524731143	-1.10031791245	-0.981326498841	-0.0858565799386	-0.646259799047	-0.833431559549	-0.567035283887	-0.966451088027	-0.871997529288	0.0854823959456	0.811915233919	-0.896509105673	0.529793117093	0.76171456485	0.329733851758
CAMA1	-0.219760040462	-0.714665981025	-1.01025569276	-0.291951685994	-1.32913842248	-0.655481966069	-0.646259799047	-0.226021295989	0.814848745175	0.783839392193	-0.652755277055	0.334705719336	-1.25918602701	-1.64307603559	0.370519051632	0.165511332886	0.594092175641
HCC1143	-0.922799819796	-0.714665981025	-0.923189703729	-0.414431417275	-0.821912700506	-0.655481966069	-0.646259799047	-0.0235512081357	-0.567035283887	-0.305698858546	NA	-0.108357966692	0.038097180385	-0.778006418385	-1.21084488402	-0.260348118517	0.251981403557
HCC1187	-0.922799819796	-0.714665981025	0.353778135443	2.69655375728	0.438905522688	NA	-0.646259799047	1.91678713379	-0.567035283887	0.755722276044	-0.0193887706056	0.39008868009	-0.974694095564	0.0515123926378	0.0974777965564	0.449417633821	NA
